name,naming_series,supplier,posting_date,due_date,company
PI-DEMO-000179,ACC-PINV-.YYYY.-,Siemens Pakistan,2025-08-26,2025-09-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000180,ACC-PINV-.YYYY.-,Draeger Safety Pakistan,2025-08-27,2025-09-26,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000181,ACC-PINV-.YYYY.-,Waste Tech Industries,2025-09-02,2025-11-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000182,ACC-PINV-.YYYY.-,Digital Tracking Systems,2025-09-03,2025-10-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000183,ACC-PINV-.YYYY.-,Pharma Waste Solutions,2025-09-08,2025-10-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000184,ACC-PINV-.YYYY.-,National Environmental Lab,2025-09-13,2025-11-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000185,ACC-PINV-.YYYY.-,Al-Fatah Safety Products,2025-09-19,2025-10-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000186,ACC-PINV-.YYYY.-,SafeGuard Uniforms,2025-09-19,2025-11-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000187,ACC-PINV-.YYYY.-,Siemens Pakistan,2025-09-25,2025-11-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000188,ACC-PINV-.YYYY.-,Pharma Waste Solutions,2025-10-01,2025-11-15,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000189,ACC-PINV-.YYYY.-,Al-Fatah Safety Products,2025-10-04,2025-11-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000190,ACC-PINV-.YYYY.-,Kohinoor Chemical,2025-10-05,2025-12-04,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000191,ACC-PINV-.YYYY.-,Lahore Container Works,2025-10-06,2025-12-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000192,ACC-PINV-.YYYY.-,Draeger Safety Pakistan,2025-10-06,2025-11-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000193,ACC-PINV-.YYYY.-,Al-Fatah Safety Products,2025-10-06,2025-12-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000194,ACC-PINV-.YYYY.-,Waste Tech Industries,2025-10-08,2025-11-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000195,ACC-PINV-.YYYY.-,Isuzu Pakistan,2025-10-11,2025-12-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000196,ACC-PINV-.YYYY.-,Waste Tech Industries,2025-10-13,2025-11-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000197,ACC-PINV-.YYYY.-,Ravi Engineering Works,2025-10-15,2025-11-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000198,ACC-PINV-.YYYY.-,Pakistan Petroleum Corp,2025-10-17,2025-12-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000199,ACC-PINV-.YYYY.-,Punjab Insurance Brokers,2025-10-23,2025-12-07,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000200,ACC-PINV-.YYYY.-,GE Health Pakistan,2025-10-30,2025-12-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000201,ACC-PINV-.YYYY.-,Refractory Materials Lahore,2025-10-31,2025-11-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000202,ACC-PINV-.YYYY.-,Ravi Engineering Works,2025-11-03,2026-01-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000203,ACC-PINV-.YYYY.-,SafeGuard Uniforms,2025-11-05,2026-01-04,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000204,ACC-PINV-.YYYY.-,Digital Tracking Systems,2025-11-10,2025-12-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000205,ACC-PINV-.YYYY.-,Punjab Revenue Board Consultants,2025-11-13,2025-12-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000206,ACC-PINV-.YYYY.-,Calibration Services Pakistan,2025-11-15,2025-12-15,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000207,ACC-PINV-.YYYY.-,Al-Fatah Safety Products,2025-11-18,2025-12-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000208,ACC-PINV-.YYYY.-,Metropolitan Steel Works,2025-11-26,2026-01-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000209,ACC-PINV-.YYYY.-,Refractory Materials Lahore,2025-11-26,2026-01-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000210,ACC-PINV-.YYYY.-,Al-Fatah Safety Products,2025-11-27,2026-01-11,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000211,ACC-PINV-.YYYY.-,Al-Fatah Safety Products,2025-12-01,2026-01-30,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000212,ACC-PINV-.YYYY.-,National Chemical Corp,2025-12-01,2025-12-31,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000213,ACC-PINV-.YYYY.-,Siemens Pakistan,2025-12-03,2026-01-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000214,ACC-PINV-.YYYY.-,Punjab Revenue Board Consultants,2025-12-13,2026-01-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000215,ACC-PINV-.YYYY.-,Draeger Safety Pakistan,2025-12-17,2026-02-15,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000216,ACC-PINV-.YYYY.-,Siemens Pakistan,2025-12-23,2026-01-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000217,ACC-PINV-.YYYY.-,Digital Tracking Systems,2025-12-24,2026-01-23,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000218,ACC-PINV-.YYYY.-,Atlas Honda Parts,2025-12-26,2026-01-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000219,ACC-PINV-.YYYY.-,Atlas Honda Parts,2026-01-02,2026-02-16,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000220,ACC-PINV-.YYYY.-,SafeGuard Uniforms,2026-01-04,2026-02-18,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000221,ACC-PINV-.YYYY.-,Fire Safety Equipment Co,2026-01-06,2026-02-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000222,ACC-PINV-.YYYY.-,Pakistan Petroleum Corp,2026-01-07,2026-03-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000223,ACC-PINV-.YYYY.-,Punjab Revenue Board Consultants,2026-01-08,2026-02-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000224,ACC-PINV-.YYYY.-,Digital Tracking Systems,2026-01-08,2026-02-22,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000225,ACC-PINV-.YYYY.-,Lahore Rubber Works,2026-01-10,2026-02-24,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000226,ACC-PINV-.YYYY.-,Safety First PPE,2026-01-11,2026-02-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000227,ACC-PINV-.YYYY.-,Waste Tech Industries,2026-01-18,2026-03-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000228,ACC-PINV-.YYYY.-,Shell Pakistan,2026-01-19,2026-03-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000229,ACC-PINV-.YYYY.-,Eco-Disposal Systems,2026-01-20,2026-02-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000230,ACC-PINV-.YYYY.-,Lahore Rubber Works,2026-01-21,2026-02-20,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000231,ACC-PINV-.YYYY.-,Siemens Pakistan,2026-01-22,2026-03-08,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000232,ACC-PINV-.YYYY.-,Clean Environment Services,2026-01-23,2026-03-09,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000233,ACC-PINV-.YYYY.-,Punjab Revenue Board Consultants,2026-01-24,2026-03-25,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000234,ACC-PINV-.YYYY.-,Draeger Safety Pakistan,2026-01-26,2026-03-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000235,ACC-PINV-.YYYY.-,Total Parco,2026-02-01,2026-04-02,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000236,ACC-PINV-.YYYY.-,Draeger Safety Pakistan,2026-02-01,2026-03-03,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000237,ACC-PINV-.YYYY.-,GE Health Pakistan,2026-02-03,2026-04-04,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000238,ACC-PINV-.YYYY.-,Pakistan Petroleum Corp,2026-02-04,2026-04-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000239,ACC-PINV-.YYYY.-,SafeGuard Uniforms,2026-02-09,2026-04-10,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000240,ACC-PINV-.YYYY.-,Isuzu Pakistan,2026-02-10,2026-03-12,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000241,ACC-PINV-.YYYY.-,Clean Environment Services,2026-02-12,2026-03-29,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000242,ACC-PINV-.YYYY.-,Punjab Auto Parts,2026-02-12,2026-04-13,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000243,ACC-PINV-.YYYY.-,Atlas Honda Parts,2026-02-19,2026-03-21,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000244,ACC-PINV-.YYYY.-,Draeger Safety Pakistan,2026-02-26,2026-04-27,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000245,ACC-PINV-.YYYY.-,Metropolitan Steel Works,2026-03-02,2026-04-01,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000246,ACC-PINV-.YYYY.-,Lahore Container Works,2026-03-05,2026-04-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000247,ACC-PINV-.YYYY.-,Medical Supplies Punjab,2026-03-05,2026-04-19,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000248,ACC-PINV-.YYYY.-,Refractory Materials Lahore,2026-03-06,2026-05-05,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000249,ACC-PINV-.YYYY.-,Digital Tracking Systems,2026-03-07,2026-04-06,EnXi Biomedical & Waste Management (Pvt) Ltd
PI-DEMO-000250,ACC-PINV-.YYYY.-,Lahore Paper & Packaging,2026-03-11,2026-05-10,EnXi Biomedical & Waste Management (Pvt) Ltd
